country,year,GDP_Growth_Rate_pct,Inflation_Rate_pct,Unemployment_Rate_pct,Current_Account_Balance_USD_bn,Gross_Govt_Debt_pct_GDP,GDP_Current_Prices_USD_bn
SDN,1980,2.5,26.5,,-0.931,,9.095
SDN,1981,6.3,24.0,22.3,-1.371,,6.53
SDN,1982,4.1,26.6,22.2,-1.1,,4.748
SDN,1983,-1.5,30.6,21.4,-0.713,,6.485
SDN,1984,-5.6,33.7,20.7,-0.766,,7.992
SDN,1985,-0.6,45.6,19.9,-0.825,,5.547
SDN,1986,9.9,60.0,19.2,-1.358,,7.4
SDN,1987,6.5,26.5,18.5,-1.601,,11.964
SDN,1988,4.3,62.9,17.9,-1.841,,9.551
SDN,1989,1.4,65.3,17.2,-2.045,,16.853
SDN,1990,0.8,-0.9,16.6,-2.2,,2.245
SDN,1991,7.0,123.6,16.0,-2.5,,2.528
SDN,1992,5.5,117.6,15.4,-1.475,495.2,3.1
SDN,1993,2.8,101.3,15.8,-1.408,285.9,5.246
SDN,1994,3.5,115.5,15.2,-1.476,386.5,5.961
SDN,1995,8.9,68.4,14.6,-1.475,239.0,6.694
SDN,1996,5.5,86.8,14.0,-1.086,220.9,8.377
SDN,1997,6.1,47.2,13.5,-1.098,167.7,10.241
SDN,1998,8.2,24.6,13.0,-1.428,179.7,10.924
SDN,1999,4.2,17.2,12.5,-0.767,160.5,10.714
SDN,2000,8.4,7.1,15.2,-0.518,143.2,13.134
SDN,2001,10.9,1.9,15.0,-0.522,125.6,15.716
SDN,2002,5.9,22.2,15.9,-0.974,121.7,18.137
SDN,2003,6.3,6.5,15.8,-0.939,117.4,21.355
SDN,2004,5.1,9.7,16.2,-0.818,97.8,26.646
SDN,2005,5.6,8.5,17.0,-2.473,75.5,35.183
SDN,2006,6.5,7.2,17.5,-6.496,63.7,45.264
SDN,2007,5.7,14.8,16.8,-3.597,53.7,59.44
SDN,2008,3.8,14.3,16.0,-3.594,55.8,64.833
SDN,2009,-2.8,11.3,14.9,-4.927,71.0,54.812
SDN,2010,3.9,13.0,13.7,-1.725,74.6,65.716
SDN,2011,-3.2,18.1,12.0,-2.653,78.1,66.448
SDN,2012,-17.0,35.6,14.8,-6.259,117.7,48.948
SDN,2013,2.0,36.5,15.2,-5.822,105.8,52.892
SDN,2014,4.7,36.9,19.8,-3.545,84.4,60.726
SDN,2015,4.9,16.9,21.6,-5.461,93.2,64.534
SDN,2016,4.7,17.8,20.6,-4.213,109.9,64.888
SDN,2017,0.8,32.4,19.6,-4.611,149.5,48.906
SDN,2018,-2.3,63.3,19.5,-4.679,209.8,33.59
SDN,2019,-2.5,51.0,22.1,-4.78,216.5,31.484
SDN,2020,-3.6,163.3,26.8,-5.841,278.3,35.237
